Lista 2024 - China Contados,,,,,,,,,,,,Lista 2024 - China y Italia No Contados,,,,,,,Lista 2024 - Otros,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Fecha de Llegada,Fabricas,Codigo,Cantidad Pedidos,Cantidad Recibidos,Cantidad de Sacos,,Ratio R/P,Fabricas,Pedidos por Fabricas,Ratio R/P por Fabricas,,Fecha de Llegada,Fabrica,Codigo,Cantidad Pedidos,Cantidad Llegados,Cantidad de Sacos,,Fecha de Llegada,Fabrica,Codigo,Cantidad Pedidos,Cantidad Llegados,Cantidad de Sacos
2024-06-28,유화A2-1,24513-2#,107,107,1,,"0,00%",,,,,2024-07-01,Elegance Firenze S.r.l,851927,,100,,,,,,,,
2024-06-28,유화A2-1,24513-3#,212,212,2,,"0,00%",,,,,2024-07-01,Clover_Shinny S.R.L,22089,,90,11,,,,,,,
2024-06-28,유화117,24554#,400,400,3,,"0,00%",,,,,2024-07-01,Clover_Shinny S.R.L,22036,,80,,,,,,,,
2024-06-28,해주공장,24526#,894,800,10,,"10,51%",,,,,2024-07-01,Clover_Shinny S.R.L,22006-1,,80,,,,,,,,
2024-06-28,해주공장,24527#,524,450,4,,"14,12%",,,,,2024-07-01,Studio di Chen Lingqin,571/55,,30,1,,,,,,,
2024-06-28,해주공장,24523#,300,299,5,,"0,33%",,,,,2024-07-01,Studio di Chen Lingqin,578/67,,2,,,,,,,,
2024-06-28,해주공장,24524#,314,300,4,,"4,46%",,,,,2024-07-01,Studio di Chen Lingqin,999973/11,,9,,,,,,,,
2024-06-28,해주공장,24525#,400,400,3,,"0,00%",,,,,2024-07-01,Studio di Chen Lingqin,999973/13,,1,,,,,,,,
2024-06-28,해주공장,23552#,414,400,7,,"3,38%",,,,,2024-07-01,Studio di Chen Lingqin,999973/5,,10,,,,,,,,
2024-06-28,해주공장,24588#,300,285,3,,"5,00%",,,,,2024-07-01,Studio di Chen Lingqin,999973/9,,1,,,,,,,,
2024-06-28,해주공장,24586#,600,530,3,,"11,67%",,,,,2024-07-01,Studio di Chen Lingqin,j680/29,,18,,,,,,,,
2024-06-28,잉그,24582#,404,400,5,,"0,99%",,,,,,,,,,,,,,,,,
2024-06-28,잉그,24583#,401,400,7,,"0,25%",,,,,2024-10-05,BLU ROYAL,A2242-F21,,12,,,,,,,,
2024-06-28,YA,24555#,633,600,3,,"5,21%",,,,,2024-10-05,BLU ROYAL,A29748-G11,,40,,,,,,,,
2024-06-28,YA,24556#,400,364,5,,"9,00%",,,,,2024-10-05,BLU ROYAL,A6811-G11,,38,,,,,,,,
2024-06-28,YA,24557#,900,816,7,,"9,33%",,,,,2024-10-05,BLU ROYAL,A6923-W6,,40,,,,,,,,
2024-06-28,YA,24587#,201,200,2,,"0,50%",,,,,2024-10-05,COS Moda,14536,,70,,,,,,,,
2024-06-28,신대지180,24545#,800,800,9,,"0,00%",,,,,2024-10-05,COS Moda,13536,,70,,,,,,,,
2024-06-28,신대지180,24550#,420,420,6,,"0,00%",,,,,2024-10-05,COS Moda,10218,,30,,,,,,,,
2024-06-28,판위왕,568#,1.520,1.500,24,,"1,32%",,,,,2024-10-05,COS Moda,13502,,22,,,,,,,,
2024-06-28,판위왕,24571#,457,400,4,,"12,47%",,,,,2024-10-06,COTTON,2399,,60,,,,,,,,
2024-06-28,판위왕,24581#,1.260,1.179,6,,"6,43%",,,,,2024-10-06,COTTON,2478,,60,,,,,,,,
